Class,Type,Difficulty,Following Class
World Religions,Social Science,1,Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=Sociology=World War II=US Hist 2+Psychology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=Sociology Honors=World War II Honors+Intr Debate=EL Intro Soc
World Religions Honors,Social Science,2,Advanced Debate=Physchology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=Sociology Honors=World War II Honors+Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=Sociology=World War II=US Hist 2+Intr Debate=EL Intro Soc
Sociology,Social Science,1,Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=World Religions=World War II=US Hist 2+Psychology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=Sociology Honors=World War II Honors+Intr Debate=EL Intro Soc
Sociology Honors,Social Science,2,Advanced Debate=Physchology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=World War II Honors+Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=World Religions=World War II=US Hist 2+Intr Debate=EL Intro Soc
World War II,Social Science,1,Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=World Religions=Sociology=US Hist 2+Psychology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=Sociology Honors=World War II Honors+Intr Debate=EL Intro Soc
World War ll Honors,Social Science,2,Advanced Debate=Physchology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=Sociology Honors+Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=World Religions=Sociology=US Hist 2+Intr Debate=EL Intro Soc
EL Civics,Social Science,1,EL USH+US HIST=US History=ALCUSH USH+ALCUSH USH Honors=US Hist Hon+US Hist AP
Civics,Social Science,1,US HIST=US History=ALCUSH USH+ALCUSH USH Honors=US Hist Hon+US Hist AP+EL USH
Law,Social Science,1,Debate=Black and Latinx Studies=Asian American Studies=Psychology=World Religions=Sociology=World War II=US Hist 2+Psychology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=Sociology Honors=World War II Honors+Intr Debate=EL Intro Soc
Modern World History,Social Science,1,Civics+Psychology+Psychology Honors+AP Gov & Pol
Civics,Social Science,1,US HIST=US History=ALCUSH USH+ALCUSH USH Honors=US Hist Hon+US Hist AP+EL USH
US Hist 2,Social Science,1,Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=World Religions=Sociology=World War II+Psychology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=Sociology Honors=World War II Honors+Intr Debate=EL Intro Soc
Sociology,Social Science,1,Debate=Black and Latinx Studies=Asian American Studies=Law=Psychology=World Religions=World War II=US Hist 2+Psychology AP=Eur His AP=AP Gov & Pol=Black and Latinx Studies Hon=Asian American Studies Hon=MacroEcon AP=Law Honors=Psychology Honors=World Religions Honors=Sociology Honors=World War II Honors+Intr Debate=EL Intro Soc
